"rank","score","band","full_name","github_url","imported_by","imported_as","importer_examples","declares_package","stage1_framework","owner_matches","desc_keyword","stars","contributors","total_functions","llm_calls","invokers_direct","nd_tests","nd_tests_direct","frameworks_imported","in_scope","framework_suspect","pypi","description","score_breakdown"
"560","0","-","cmjatai/cmj","https://github.com/cmjatai/cmj","0","","","","0","","","13","3","3520","1","1","128","0","haystack","","0","","Portal da Câmara Municipal de Jataí",""
"561","0","-","depalmar/ai_for_the_win","https://github.com/depalmar/ai_for_the_win","0","","","","0","","","150","3","3194","55","43","128","7","anthropic, openai, langchain_anthropic, langchain_core, langchain, langchain_community, langchain_openai, langchain_google_genai, langchain_ollama, langgraph","","0","","Build AI-powered security tools. 50+ hands-on labs covering ML, LLMs, RAG, threat detection, DFIR, and red teaming. Includes Colab notebooks, Docker environment, and CTF challenges.",""
"562","0","-","ValueCell-ai/valuecell","https://github.com/ValueCell-ai/valuecell","0","","","","0","","","10877","17","1533","12","12","126","0","agno","","0","","ValueCell is a community-driven, multi-agent platform for financial applications.",""
"563","0","-","IABTechLab/buyer-agent","https://github.com/IABTechLab/buyer-agent","0","","","","0","","","19","6","5185","7","7","124","0","crewai","","0","","",""
"564","0","-","jmcentire/pact","https://github.com/jmcentire/pact","0","","","","0","","","160","2","3343","9","9","124","0","anthropic, openai","uncovered","0","","Contracts before code. Tests as law. Agents that can't cheat.",""
"565","0","-","Citrus-bit/Anaxa","https://github.com/Citrus-bit/Anaxa","0","","","","0","","","134","3","2825","33","32","117","24","langchain_core, langchain, langgraph, openai, langchain_anthropic, anthropic, langchain_deepseek, langchain_openai","","0","","Anaxa 是一个面向科研工作流的开源智能体系统。它不是单纯的聊天机器人，也不是无人监管的自动发论文机器，而是把文献检索、证据审计、实验执行、论文写作、同行评审式检查和最终产物打包放进同一个可追踪的研究生命周期中。",""
"566","0","-","malue-ai/dazee-small","https://github.com/malue-ai/dazee-small","0","","","","0","","","35","9","4111","25","22","115","0","openai, anthropic, mem0","","0","","",""
"567","0","-","Eigenwise/atomic-agents","https://github.com/Eigenwise/atomic-agents","0","","","","0","","","6013","36","1184","2","2","110","0","openai, dspy, litellm, groq, anthropic","","0","","Building AI agents, atomically",""
"568","0","-","AleksNeStu/ai-real-estate-assistant","https://github.com/AleksNeStu/ai-real-estate-assistant","0","","","","0","","","270","8","10573","27","22","106","4","langchain_core, agents, langchain_openai, langchain, langchain_community, langchain_experimental, langchain_anthropic, langchain_google_genai, langchain_ollama, openai, anthropic","","0","","AI-powered real estate platform with conversational property search, analytics, and market insights. Built with FastAPI + Next.js + ChromaDB.",""
"569","0","-","bmigette/BA2TradePlatform","https://github.com/bmigette/BA2TradePlatform","0","","","","0","","","10","2","10026","52","43","101","25","langchain_core, langchain_openai, langgraph, openai, langchain_deepseek, anthropic, langchain_xai, langchain_google_genai, langchain_aws, langchain_anthropic, langchain","","0","","BA2 Automated Trade platform: Automatic trading based on diverses strategies (mostly TradingAgents project for now), allowing customizable set of rules to enter / exit markets.",""
"570","0","-","gptme/gptme-contrib","https://github.com/gptme/gptme-contrib","0","","","","0","","","14","9","10628","12","12","99","0","anthropic, openai, headroom","uncovered","0","","Tools, plugins, lessons, and scripts for gptme and gptme-powered agents",""
"571","0","-","skygazer42/Weaver","https://github.com/skygazer42/Weaver","0","","","","0","","","167","3","2126","150","113","98","4","langchain_core, langchain, langchain_openai, langgraph, openai, dashscope, langchain_anthropic, mem0","","0","","基于 LangGraph 的企业级 AI 智能体平台，支持深度研究、代码执行 ，并提供 62+ 内置工具与类Manus的多 Agent 配置。支持 SSE 实时流、任务取消、记忆管理以及多模态交互等能力",""
"572","0","-","mifunedev/orchestra","https://github.com/mifunedev/orchestra","0","","","","0","","","14","2","1811","24","20","95","9","langgraph, langchain_core, langchain, langchain_community, groq, langchain_anthropic","","0","","Steerable Harnesses for DeepAgents — Orchestra🪶",""
"573","0","-","causalNLP/causal-agent","https://github.com/causalNLP/causal-agent","0","","","","0","","","29","14","658","36","36","93","0","langchain_core, langchain, langchain_anthropic, langchain_openai, langchain_together, langchain_deepseek, langchain_google_genai, openai, together, vertexai","","0","","Causal AI Scientist (CAIS) is an LLM-powered tool for generating data-driven answers to natural language causal queries.",""
"574","0","-","jiangxxxue/KOCO-bench","https://github.com/jiangxxxue/KOCO-bench","0","","","","0","","","12","6","205673","359","309","92","92","smolagents, openai, langchain, langchain_core, langchain_community, litellm, langchain_openai, vertexai, agno, mistralai, agents, langchain_ollama, langchain_huggingface, langgraph, anthropic, ollama, zhipuai, cohere, langchain_deepseek, phoenix","","0","","",""
"575","0","-","UiPath/uipath-integrations-python","https://github.com/UiPath/uipath-integrations-python","0","","","","0","","","10","15","2035","76","55","91","31","agent_framework, agents, pydantic_ai, openai, anthropic","","0","","A collection of Python SDKs that enable developers to build and deploy agents to the UiPath Cloud Platform using different agent frameworks",""
"576","0","-","kreneskyp/ix","https://github.com/kreneskyp/ix","0","","","","0","","","1043","5","1331","118","89","87","65","langchain, langchain_community, langchain_core, langchain_experimental, langchain_mistralai, openai","","0","","Autonomous GPT-4 agent platform",""
"577","0","-","suitenumerique/conversations","https://github.com/suitenumerique/conversations","0","","","","0","","","60","13","1824","12","12","86","6","pydantic_ai, mistralai","","0","","AI chatbot",""
"578","0","-","beatwad/LinkedIn-AI-Job-Applier-Ultimate","https://github.com/beatwad/LinkedIn-AI-Job-Applier-Ultimate","0","","","","0","","","121","5","1521","43","42","84","8","langchain_core, langchain_ollama, langchain_openai, langchain_anthropic, langchain_google_genai","","0","","AI-powered LinkedIn and Indeed job application bot with Playwright automation, LLM integration, data anonymization, and Telegram reporting. Applies to ALL job types (not just Easy Apply), generates cu",""
"579","0","-","diaomin66/astrbot_plugin_omnidraw","https://github.com/diaomin66/astrbot_plugin_omnidraw","0","","","","0","","","54","3","419","1","1","84","0","astrbot","","0","","",""
"580","0","-","allenai/agent-baselines","https://github.com/allenai/agent-baselines","0","","","","0","","","144","16","436","9","8","83","0","autogen_agentchat, autogen_core, autogen_ext, smolagents, openai","","0","","",""
"581","0","-","apache/burr","https://github.com/apache/burr","0","","","","0","","","2450","53","2458","53","53","77","10","openai, langchain_core, langchain_community, haystack, langchain_experimental, langchain_openai, langgraph","","0","","Build applications that make decisions (chatbots, agents, simulations, etc...). Monitor, trace, persist, and execute on your own infrastructure.",""
"582","0","-","opea-project/GenAIComps","https://github.com/opea-project/GenAIComps","0","","","","0","","","196","120","2139","59","57","76","0","langchain_community, langchain_core, langchain_huggingface, langchain, openai, langgraph, langchain_openai, langchain_experimental","","0","","GenAI components at micro-service level; GenAI service composer to create mega-service",""
"583","0","-","Arvo-AI/aurora","https://github.com/Arvo-AI/aurora","0","","","","0","","","348","11","4902","10","9","72","0","langchain_core, langchain_openai, langchain, langgraph, langchain_google_genai, langchain_anthropic, langchain_aws, langchain_ollama","","0","","Aurora — Open source AI-powered agentic incident management & root cause analysis for SREs. LangGraph agents investigate across AWS, Azure, GCP, Kubernetes. Integrates with PagerDuty, Datadog, Grafana",""
"584","0","-","microsoft/semanticworkbench","https://github.com/microsoft/semanticworkbench","0","","","","0","","","402","10","2999","42","36","72","2","openai, semantic_kernel, anthropic, smolagents, pydantic_ai","","0","","A versatile tool designed to help prototype intelligent assistants, agents and multi-agentic systems",""
"585","0","-","microsoft/simplechat","https://github.com/microsoft/simplechat","0","","","","0","","","140","20","8259","23","16","71","0","semantic_kernel, openai","","0","","Secure AI conversations with documents, video, audio, and more. Personal workspaces for focused context, group spaces for shared insight. Classify docs, reuse prompts, and extend with modular features",""
"586","0","-","voxel51/voxelgpt","https://github.com/voxel51/voxelgpt","0","","","","0","","","255","12","372","31","30","70","0","langchain_core, langchain, langchain_openai","","0","","AI assistant that can query visual datasets, search the FiftyOne docs, and answer general computer vision questions",""
"587","0","-","BjornMelin/docmind-ai-llm","https://github.com/BjornMelin/docmind-ai-llm","0","","","","0","","","134","4","3155","29","17","63","12","langgraph, langchain_core, langchain, ollama, langchain_openai","","0","","DocMind AI is a powerful, open-source Streamlit application leveraging LlamaIndex, LangGraph, and local Large Language Models (LLMs) via Ollama, LMStudio, llama.cpp, or vLLM for advanced document anal",""
"588","0","-","arun-gupta/agentic-tictactoe","https://github.com/arun-gupta/agentic-tictactoe","0","","","","0","","","13","3","843","3","3","63","0","pydantic_ai, anthropic, openai","","0","","",""
"589","0","-","HKUDS/Vibe-Trading","https://github.com/HKUDS/Vibe-Trading","0","","","","0","","","17452","55","14386","5","5","61","4","langchain_core, openai, langchain_openai, langchain_anthropic","","0","","""Vibe-Trading: Your Personal Trading Agent""",""
"590","0","-","it-at-m/zammad-ai","https://github.com/it-at-m/zammad-ai","0","","","","0","","","21","10","510","4","4","61","0","langchain_core, langchain, langchain_openai, langgraph, langchain_anthropic","","0","","GenAI-powered agent for Zammad",""
"591","0","-","superlinked/sie","https://github.com/superlinked/sie","0","","","","0","","","2104","4","10238","72","64","61","58","haystack, agents, openai, langchain_core, dspy, crewai","","0","","Open-source inference server and production cluster for all the models your agent needs.",""
"592","0","-","vectorize-io/hindsight","https://github.com/vectorize-io/hindsight","0","","","","0","","","17820","153","14142","25","20","61","8","openai, litellm, langchain_core, langgraph, agent_framework, crewai, autogen_core, haystack, cohere, agno, pydantic_ai, smolagents, anthropic, langchain_openai, agents","","0","","Hindsight: Agent Memory That  Learns",""
"593","0","-","rhesis-ai/rhesis","https://github.com/rhesis-ai/rhesis","0","","","","0","","","373","27","15492","72","61","59","21","langchain_core, agent_framework, haystack, langgraph, langchain_google_genai, litellm, pydantic_ai, deepeval, ragas, langchain, crewai, anthropic, openai, autogen","","0","","The testing platform for AI teams. Bring engineers, PMs, and domain experts together to generate tests, simulate (adversarial) conversations, and trace every failure to its root cause.",""
"594","0","-","ascending-llc/jarvis-registry","https://github.com/ascending-llc/jarvis-registry","0","","","","0","","","1706","30","5090","18","18","58","9","agno, langchain_core, langchain_aws","","0","","Connect any AI copilot or autonomous agent to your enterprise tools — through a single, secure MCP/Agent gateway with built-in identity, access control, and full observability.",""
"595","0","-","llm-workflow-engine/llm-workflow-engine","https://github.com/llm-workflow-engine/llm-workflow-engine","0","","","","0","","","3717","26","892","4","4","58","0","langchain_core, langchain_openai, langchain_community, langchain_google_vertexai, langchain_cohere, langchain_mistralai, langchain_anthropic, langchain_fireworks","","0","","Power CLI and Workflow manager for LLMs (core package)",""
"596","0","-","iii-org/akasha","https://github.com/iii-org/akasha","0","","","","0","","","30","11","735","38","34","55","3","langchain_core, langchain_community, langchain, langchain_openai, langchain_huggingface, anthropic, openai, langchain_anthropic, langchain_google_genai, langchain_ollama, langgraph, langchain_experimental","","0","","",""
"597","0","-","jst-seminar-rostlab-tum/personio-foundation-coachai","https://github.com/jst-seminar-rostlab-tum/personio-foundation-coachai","0","","","","0","","","13","21","511","1","1","54","0","langchain, langchain_google_genai, langchain_community, openai, langchain_google_vertexai, langchain_openai, langchain_core","","0","","A smart, voice-based training app for HR professionals to master difficult conversations through guided preparation, realistic simulations, and actionable feedback",""
"598","0","-","airblackbox/airblackbox","https://github.com/airblackbox/airblackbox","0","","","","0","","","18","4","1297","4","3","53","0","openai, langchain_openai, langchain, crewai, haystack, autogen, anthropic, langchain_community, langchain_core, autogen_agentchat, semantic_kernel, dspy, langgraph, vertexai","","0","","Open-source EU AI Act compliance scanner. 51 checks across Articles 9-15. Drop-in trust layers for LangChain, CrewAI, AutoGen, OpenAI. Local-first, no data leaves your machine.",""
"599","0","-","IABTechLab/seller-agent","https://github.com/IABTechLab/seller-agent","0","","","","0","","","20","7","2959","8","7","52","0","crewai","","0","","",""
"600","0","-","fetchai/innovation-lab-examples","https://github.com/fetchai/innovation-lab-examples","0","","","","0","","","1125","30","2671","81","77","51","0","uagents, openai, crewai, autogen, agents, anthropic, langchain_openai, agno, langchain_core, langchain, langgraph, pydantic_ai, langchain_google_genai, langchain_community, langchain_anthropic","","0","","A curated collection of comprehensive Fetch.ai Innovation Lab examples, showcasing advanced use cases and detailed implementations beyond the main documentation.",""
"601","0","-","boringdata/kurt-core","https://github.com/boringdata/kurt-core","0","","","","0","","","12","6","5884","6","4","49","0","dspy, anthropic, litellm, openai","","0","","",""
"602","0","-","wsargent/groundedllm","https://github.com/wsargent/groundedllm","0","","","","0","","","81","2","336","74","69","49","47","haystack","","0","","AI agent grounded with search and extract tools to reduce hallucination.",""
"603","0","-","agencyenterprise/draft-detective","https://github.com/agencyenterprise/draft-detective","0","","","","0","","","18","9","2172","60","58","47","0","langgraph, langchain_core, langchain, openai, langchain_openai, anthropic","","0","","AI-powered assistant for academic peer review. Built with LangGraph, this tool validates references against claims, flags unsupported assertions, performs literature reviews, and suggests relevant cit",""
"604","0","-","mcasalaina/QuestionnaireAgent_v3","https://github.com/mcasalaina/QuestionnaireAgent_v3","0","","","","0","","","10","2","680","8","8","47","1","agent_framework, agents","","0","","",""
"605","0","-","wenhaochai/aurora","https://github.com/wenhaochai/aurora","0","","","","0","","","145","6","6896","30","27","47","7","openai, anthropic, lagent, dashscope, dspy, litellm, vertexai","","0","","[ICLR 2025] AuroraCap: Efficient, Performant Video Detailed Captioning and a New Benchmark",""
"606","0","-","PurpleAILAB/Decepticon","https://github.com/PurpleAILAB/Decepticon","0","","","","0","","","4534","14","7558","49","42","44","36","langchain_core, langchain, langgraph, litellm, langchain_openai, langchain_anthropic, openai","","0","","Autonomous Hacking Agent for Red Team",""
"607","0","-","MODSetter/SurfSense","https://github.com/MODSetter/SurfSense","0","","","","0","","","15158","89","10998","88","58","43","43","langchain_core, langgraph, langchain, litellm, langchain_anthropic, langchain_community","","0","","An open source, privacy focused alternative to NotebookLM for teams with no data limits. Join our Discord: https://discord.gg/ejRNvftDp9",""
"608","0","-","awslabs/distributed-multi-agent-collaboration","https://github.com/awslabs/distributed-multi-agent-collaboration","0","","","chorus","0","","","11","6","658","3","3","42","0","langchain, langchain_aws, anthropic, openai","","0","","",""
"609","0","-","microsoft/content-generation-solution-accelerator","https://github.com/microsoft/content-generation-solution-accelerator","0","","","","0","","","240","64","724","10","7","42","0","openai, agents, agent_framework","","0","","Accelerate marketing content creation with an AI-powered multi-agent system using Microsoft Foundry.",""
"610","0","-","redis-developer/langgraph-redis","https://github.com/redis-developer/langgraph-redis","0","","","","0","","","228","20","1351","69","38","42","37","langgraph, langchain_core, langchain, langchain_openai","","0","","Redis checkpointer and store for memory management in LangGraph",""
"611","0","-","HKUDS/ViMax","https://github.com/HKUDS/ViMax","0","","","","0","","","10818","15","630","21","18","40","0","langchain, langchain_core, agents, langchain_community, openai, langchain_openai","","0","","""ViMax: Agentic Video Generation (Director, Screenwriter, Producer, and Video Generator All-in-One)""",""
"612","0","-","coleam00/ottomator-agents","https://github.com/coleam00/ottomator-agents","0","","","","0","","","5656","3","1783","152","133","40","22","pydantic_ai, openai, agents, mem0, livekit, langgraph, langchain_huggingface, groq, ollama, together, langchain_core, langchain_anthropic, langchain_openai, langchain_community, langchain, smolagents, anthropic","","0","","All the open source AI Agents hosted on the oTTomator Live Agent Studio platform!",""
"613","0","-","aegra/aegra","https://github.com/aegra/aegra","0","","","","0","","","1018","35","3235","8","7","39","0","langgraph, langchain_core, langchain","","0","","Open source alternative to LangGraph Platform (now LangSmith Deployments) - Self-hosted AI agent backend with FastAPI and PostgreSQL. Zero vendor lock-in, full control over your agent infrastructure.",""
"614","0","-","vstorm-co/memv","https://github.com/vstorm-co/memv","0","","","","0","","","85","3","686","8","8","37","0","openai, pydantic_ai, autogen_agentchat, autogen_ext, crewai, langgraph, langchain_openai, cohere","","0","","Structured, temporal memory for AI agents.",""
"615","0","-","VincenzoManto/Doxa","https://github.com/VincenzoManto/Doxa","0","","","","0","","","13","4","314","5","3","36","0","autogen, agents, anthropic, autogen_core, autogen_ext","","0","","A YAML-driven multi-agent simulation platform for economic and social systems. It combines LLM-backed agents, market microstructure, relation graphs, and world events behind a FastAPI API and a React",""
"616","0","-","av/harbor","https://github.com/av/harbor","0","","","","0","","","3114","22","3468","38","36","36","36","openai, anthropic, npcpy","uncovered","0","","Stop configuring your AI stack. Start using it. One command brings a complete pre-wired LLM stack with hundreds of services to explore.",""
"617","0","-","najeed/ai-agent-eval-harness","https://github.com/najeed/ai-agent-eval-harness","0","","","","0","","","34","3","3728","8","5","36","0","langchain_core, crewai, langgraph, langchain_google_genai, langchain","","0","","The open-source MultiAgentOps evaluation and verification harness for any industry business workflow.",""
"618","0","-","evalops/cognitive-dissonance-dspy","https://github.com/evalops/cognitive-dissonance-dspy","0","","","","0","","","280","3","710","15","15","35","11","dspy, openai","","0","","A multi-agent LLM system for detecting and resolving cognitive dissonance.",""
"619","0","-","Arindam200/awesome-ai-apps","https://github.com/Arindam200/awesome-ai-apps","0","","","","0","","","12971","28","2082","138","117","34","0","openai, agno, langchain_core, agents, langchain_openai, langgraph, agent_framework, livekit, crewai, langchain, langchain_community, anthropic, pydantic_ai, together, autogen, litellm, ragas, phoenix, agentops, langchain_google_genai, autogen_ext, autogen_core, autogen_agentchat, camel, dspy, semantic_kernel, smolagents","","0","","A collection of projects showcasing RAG, agents, workflows, and other AI use cases",""
"620","0","-","prospectio-ai/prospectio-api-mcp","https://github.com/prospectio-ai/prospectio-api-mcp","0","","","","0","","","19","3","1108","12","11","34","0","langchain_core, langchain, langchain_openai, langchain_google_genai, langchain_ollama, langchain_mistralai, langgraph","","0","","MCP/API server that helps you to connect to different lead generation app",""
"621","0","-","Simpleyyt/ai-manus","https://github.com/Simpleyyt/ai-manus","0","","","","0","","","1581","9","1279","5","5","31","0","langchain_core, langchain, openai","","0","","AI Manus is a general-purpose AI Agent system that supports running various tools and operations in a sandbox environment.",""
"622","0","-","zyhuang-gif/agent_project","https://github.com/zyhuang-gif/agent_project","0","","","","0","","","17","2","690","8","7","30","0","langchain_core, langchain_community, langgraph, dashscope, openai, langchain_ollama, langchain_deepseek","","0","","",""
"623","0","-","MemMachine/MemMachine","https://github.com/MemMachine/MemMachine","0","","","","0","","","3140","43","5103","20","14","28","0","openai, cohere, langchain_aws, crewai, agents, langchain, litellm","","0","","Universal memory layer for AI Agents. It provides scalable, extensible, and interoperable memory storage and retrieval to streamline AI agent state management for next-generation autonomous systems.",""
"624","0","-","openagents-org/openagents","https://github.com/openagents-org/openagents","0","","","","0","","","3820","45","5852","19","12","27","1","openai, langchain_openai, langchain_core, langchain, autogen_core, anthropic, crewai, pydantic_ai, litellm","","0","","OpenAgents - AI Agent Networks for Open Collaboration",""
"625","0","-","s-nlp/AdaRAGUE","https://github.com/s-nlp/AdaRAGUE","0","","","","0","","","19","6","4679","51","31","27","27","openai","uncovered","0","","[ACL 2025] Adaptive Retrieval without Self-Knowledge? Bringing Uncertainty Back Home",""
"626","0","-","HKUSTDial/DeepEye","https://github.com/HKUSTDial/DeepEye","0","","","","0","","","207","10","1769","25","24","26","7","langchain_core, langgraph, langchain_openai, openai, langchain_community","","0","","DeepEye: An Autonomous Data Agent System",""
"627","0","-","getzep/zep","https://github.com/getzep/zep","0","","","","0","","","4710","19","2559","78","53","26","9","openai, autogen_core, pydantic_ai, langchain_core, livekit, agent_framework, autogen, crewai, langgraph, agents, autogen_ext, autogen_agentchat, anthropic, langchain_openai","","0","","Zep | Examples, Integrations, & More",""
"628","0","-","davidmonterocrespo24/DaveLovable","https://github.com/davidmonterocrespo24/DaveLovable","0","","","","0","","","47","2","285","21","18","25","12","autogen_core, autogen_agentchat, autogen_ext, openai","","0","","DaveLovable The Most Advanced Open-Source AI Web Development Platform  Build React applications at lightning speed with AI-powered multi-agent orchestration",""
"629","0","-","shyftlabs/continuum","https://github.com/shyftlabs/continuum","0","","","","0","","","75","4","4841","17","15","25","0","openai, agents, deepeval, anthropic, langchain_openai, ragas, headroom, mem0","","0","","Continuum — the agent runtime by ShyftLabs. Build, orchestrate, ship.",""
"630","0","-","GoogleCloudPlatform/core-solution-services","https://github.com/GoogleCloudPlatform/core-solution-services","0","","","","0","","","30","29","1306","7","4","24","0","langchain, langchain_community, vertexai, langchain_google_vertexai, langchain_openai, openai, anthropic, langchain_core","","0","","",""
"631","0","-","hashgraph/hedera-agent-kit-py","https://github.com/hashgraph/hedera-agent-kit-py","0","","","","0","","","11","9","2013","36","36","24","24","langchain_core, langchain_openai, langchain, langgraph, langchain_anthropic, langchain_groq","","0","","",""
"632","0","-","kayba-ai/agentic-context-engine","https://github.com/kayba-ai/agentic-context-engine","0","","","","0","","","2515","29","1271","14","14","23","2","pydantic_ai, litellm, anthropic, langchain, langgraph, langchain_core, openai","","0","","🧠 Make your agents learn from experience. Now available as a hosted solution at kayba.ai",""
"633","0","-","tinyfish-io/tinyfish-web-agent-integrations","https://github.com/tinyfish-io/tinyfish-web-agent-integrations","0","","","","0","","","13","4","151","5","5","23","0","langchain_core, langgraph, langchain_openai","","0","","TinyFish Web Agent integrations with workflow automation tools and AI agent frameworks",""
"634","0","-","yaalalabs/agent-kernel","https://github.com/yaalalabs/agent-kernel","0","","","","0","","","31","15","3501","34","33","23","13","agents, langgraph, crewai, langchain_openai, pydantic_ai, langchain_core, smolagents, litellm, openai, ragas","","0","","The Operating System for Scalable Enterprise AI Agents - Run, orchestrate, and deploy Compliant Enterprise AI Agents at scale across frameworks, without lock-in, rewrites or fragile glue code. Native",""
"635","0","-","lossless-group/investment-memo-orchestrator","https://github.com/lossless-group/investment-memo-orchestrator","0","","","","0","","","12","2","1056","65","63","21","10","langchain_anthropic, openai, anthropic, langchain_core, langgraph, agents","","0","","Multi-agent orchestration system for generating investment memos using LangGraph",""
"636","0","-","pipeshub-ai/pipeshub-ai","https://github.com/pipeshub-ai/pipeshub-ai","0","","","","0","","","3006","43","76600","47","43","21","21","langchain_core, openai, langchain_openai, opik, langchain_anthropic, langchain_google_genai, langchain_mistralai, langchain_aws, anthropic, langchain_community, langchain, cohere, langchain_ollama, langchain_fireworks, langchain_groq, langchain_xai, langchain_cohere","","0","","PipesHub is a fully extensible and explainable workplace AI platform for enterprise search and workflow automation",""
"637","0","-","strands-agents/tools","https://github.com/strands-agents/tools","0","","","","0","","","1109","76","2157","2","2","21","0","mem0","","0","","A set of tools that gives agents powerful capabilities.",""
"638","0","-","aaronjmars/MiroShark","https://github.com/aaronjmars/MiroShark","0","","","","0","","","1353","22","3295","23","16","20","1","camel, openai","","0","","Simulate anything, for $1 & less than 10 min - Universal Swarm Intelligence Engine",""
"639","0","-","davidmonterocrespo24/DaveAgent","https://github.com/davidmonterocrespo24/DaveAgent","0","","","","0","","","10","3","583","11","9","20","0","autogen_core, autogen_ext, autogen_agentchat, openlit","","0","","DaveAgent is an intelligent AI-powered coding assistant that works in your current directory. It uses AutoGen . Join the discord: https://discord.gg/qFwvrmQN",""
"640","0","-","LangConfig/langconfig","https://github.com/LangConfig/langconfig","0","","","","0","","","44","5","2387","37","33","19","4","langchain_core, langgraph, langchain, langchain_openai, langchain_anthropic, langchain_community, anthropic, langchain_google_genai, langchain_experimental, openai","","0","","LangConfig is a open-source visual workflow builder designed to make AI agent development accessible to everyone. Build, test, and share LangChain and LangGraph agent workflows with an intuitive drag-",""
"641","0","-","soliplex/soliplex","https://github.com/soliplex/soliplex","0","","","","0","","","15","13","2641","27","23","19","16","pydantic_ai","","0","","An AI-powered Retrieval-Augmented Generation (RAG) system with a modern web interface.",""
"642","0","-","timothy-odofin/agenthub-be","https://github.com/timothy-odofin/agenthub-be","0","","","","0","","","586","6","3127","25","24","19","7","langchain, langchain_core, langchain_community, langchain_openai, langgraph, langchain_anthropic, langchain_google_genai, langchain_groq, langchain_huggingface, langchain_ollama","","0","","Open-source RAG platform with multi-LLM support. Build AI agents that connect to your data, tools, and workflows - no code required.",""
"643","0","-","open-edge-platform/edge-ai-libraries","https://github.com/open-edge-platform/edge-ai-libraries","0","","","","0","","","148","114","9928","7","7","18","0","langchain_core, openai, langchain_community, langchain_openai, langgraph, litellm, langchain_ollama, ollama, langchain_huggingface, openlit","","0","","Performance optimized libraries, microservices, and tools to support the development of Edge AI applications.",""
"644","0","-","HimanshuMohanty-Git24/RakshaQuant","https://github.com/HimanshuMohanty-Git24/RakshaQuant","0","","","","0","","","37","3","1003","11","7","17","0","langchain_core, langchain_groq, langgraph","","0","","🛡️ RakshaQuant - AI-powered paper trading for NSE using LangGraph multi-agent orchestration. Features 4 LLM agents, learning feedback loop, LangSmith observability & risk guardrails. Built with Groq,",""
"645","0","-","mnemosyne-oss/mnemosyne","https://github.com/mnemosyne-oss/mnemosyne","0","","","","0","","","1332","55","4861","1","1","17","0","honcho, mem0, openai","","0","","The Zero-Dependency, Sub-Millisecond AI Memory System for Hermes Agents and Everyone Else!",""
"646","0","-","robertwhiffin/ai-slide-generator","https://github.com/robertwhiffin/ai-slide-generator","0","","","","0","","","12","12","3240","7","6","17","0","langchain_core, langchain_community","","0","","",""
"647","0","-","tigergraph/graphrag","https://github.com/tigergraph/graphrag","0","","","","0","","","14","5","1310","21","17","17","0","langchain_core, langchain_community, graphrag, langchain_openai, langchain_experimental, langchain_google_vertexai, langchain_aws, langchain_google_genai, langchain_ollama, langchain_groq, langgraph, deepeval, langchain","","0","","",""
"648","0","-","BeautyyuYanli/Kapybara","https://github.com/BeautyyuYanli/Kapybara","0","","","","0","","","57","2","1090","6","3","16","0","pydantic_ai, anthropic","","0","","",""
"649","0","-","entropy-research/Devon","https://github.com/entropy-research/Devon","0","","","","0","","","3450","14","3962","3","3","16","0","anthropic, litellm, openai","uncovered","0","","Devon: An open-source pair programmer",""
"650","0","-","kmavrodis/noRAG-multiagent-doc-qna","https://github.com/kmavrodis/noRAG-multiagent-doc-qna","0","","","","0","","","14","3","366","17","17","16","0","openai, semantic_kernel","","0","","A team of AI agents that answer document related questions (RAG alternative)",""
"651","0","-","respanai/respan","https://github.com/respanai/respan","0","","","","0","","","38","12","4884","85","74","16","16","openai, agents, haystack, litellm, crewai, pydantic_ai, dspy, langchain_core, anthropic, langgraph, livekit, ragas, agno, langchain_openai","","0","","",""
"652","0","-","KylinMountain/TradingAgents-AShare","https://github.com/KylinMountain/TradingAgents-AShare","0","","","","0","","","638","24","938","25","24","15","0","langchain_core, langchain_openai, langgraph, anthropic, openai, langchain_anthropic, langchain_google_genai","","0","","A 股多智能体智能投研系统 — 基于 TradingAgents 架构，15 名 AI Agent 模拟机构协作与实时辩论对抗，全流程可视化，支持 OpenClaw / Claude Code 集成，Docker 一键部署。",""
"653","0","-","Tswoen/Paper-Agent","https://github.com/Tswoen/Paper-Agent","0","","","","0","","","250","5","862","6","6","15","0","langgraph, anthropic, openai","","0","","Paper-Agent 是一个面向科研人员和学生的智能论文检索与调研工具。项目基于多智能体协作架构（AutoGen + LangGraph），通过自然语言处理（NLP）、自动化搜索和知识库构建，帮助用户高效查找学术论文、分析文献内容，并进行论文调研。Paper-Agent 支持多平台集成、关键词搜索、自动分析、论文调研，提升了学术研究的效率。适用于论文写作、学术调研、科研项目管理等多种场景，是学术",""
"654","0","-","ibm-granite-community/granite-playground-agents","https://github.com/ibm-granite-community/granite-playground-agents","0","","","","0","","","17","8","293","27","18","15","0","beeai_framework, langchain_core, openai, langchain_openai, langchain_ollama, langchain_community","","0","","The AI Agents behind the IBM Granite Playground",""
"655","0","-","langchain-ai/open-swe","https://github.com/langchain-ai/open-swe","0","","","","0","","","10062","31","4117","10","10","15","7","langgraph, langchain_core, langchain, langchain_fireworks, langchain_anthropic, openai, anthropic, langchain_openai, fireworks","","0","","An Open-Source Asynchronous Coding Agent",""
"656","0","-","microsoft/Agent365-python","https://github.com/microsoft/Agent365-python","0","","","","0","","","39","24","1490","17","15","15","15","langchain_core, agents, agent_framework, openai, langchain_openai, semantic_kernel","","0","","",""
